column_name,type,non_null_count,null_count,null_percentage,unique_count,min,max,sample_values,feature_class,bookmaker_kind,odds_temporal_class,usage_mode,original_source,source_type,provenance_confidence,event_time,observation_time,availability_time,temporal_precision
Under25,number,156686,82172,34.402,392,1.2,6.75,1.62|1.5|1.48|1.45|1.49,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
MaxOver25,number,156687,82171,34.402,240,1.11,172,2.25|2.35|2.45|2.15|2.3,LEAKAGE_RISK,AGGREGATE,UNKNOWN,BENCHMARK_ONLY,Max across ~17 European bookmakers via football-data.co.uk (declared),aggregator,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
MaxUnder25,number,156686,82172,34.402,337,1.26,238,1.75|1.7|1.55|1.6|1.45,LEAKAGE_RISK,AGGREGATE,UNKNOWN,BENCHMARK_ONLY,Max across ~17 European bookmakers via football-data.co.uk (declared),aggregator,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
HandiSize,number,165012,73846,30.916,47,-99.9,12.5,0.3|-0.8|-2.0|-0.5|-0.3,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
HandiHome,number,164751,74107,31.026,434,0,177,1.85|1.9|2.0|1.75|1.8,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
HandiAway,number,164727,74131,31.036,646,-0.5,15.14,1.95|1.7|1.8|2.1|2.0,LEAKAGE_RISK,BOOKMAKER,UNKNOWN,BENCHMARK_ONLY,Bet365 via football-data.co.uk (declared),bookmaker_feed,partially_verified,match scheduled start (not quote time),unknown (open/close not labeled),unknown,unknown
C_LTH,number,112602,126256,52.858,9109,0.0097,0.9437,0.1345|0.0734|0.0441|0.091|0.0146,LEAKAGE_RISK,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,repository clustering model (author-derived),derived,suspect,match,model-derived; timing unknown,not demonstrably pre-match,unknown
C_LTA,number,112602,126256,52.858,9122,0.0097,0.9449,0.1059|0.0188|0.4549|0.7583|0.433,LEAKAGE_RISK,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,repository clustering model (author-derived),derived,suspect,match,model-derived; timing unknown,not demonstrably pre-match,unknown
C_VHD,number,112602,126256,52.858,8939,0.0098,0.9512,0.5177|0.0156|0.1732|0.0875|0.0701,LEAKAGE_RISK,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,repository clustering model (author-derived),derived,suspect,match,model-derived; timing unknown,not demonstrably pre-match,unknown
C_VAD,number,112602,126256,52.858,8693,0.0097,0.9511,0.01|0.0646|0.0624|0.0146|0.0104,LEAKAGE_RISK,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,repository clustering model (author-derived),derived,suspect,match,model-derived; timing unknown,not demonstrably pre-match,unknown
C_HTB,number,112602,126256,52.858,8826,0.0098,0.9465,0.1689|0.2805|0.2555|0.0324|0.052,LEAKAGE_RISK,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,repository clustering model (author-derived),derived,suspect,match,model-derived; timing unknown,not demonstrably pre-match,unknown
C_PHB,number,112602,126256,52.858,8658,0.0097,0.9415,0.0631|0.547|0.01|0.0163|0.4199,LEAKAGE_RISK,NOT_ODDS,UNKNOWN,BENCHMARK_ONLY,repository clustering model (author-derived),derived,suspect,match,model-derived; timing unknown,not demonstrably pre-match,unknown
